"BOOT_IMAGE",CanMultiSession,PID,UID,"_raw","_time",api,average,"date_hour","date_mday","date_minute","date_month","date_second","date_wday","date_year","date_zone",distance,estimate,eventtype,files,gid,host,index,linecount,longest,lsn,mode,pid,punct,resettable,root,size,source,sourcetype,"splunk_server","splunk_server_group",sync,tag,"tag::eventtype",timeendpos,timestamp,timestartpos,total,uid,vendor,version,write
,,,,"(lightdm-gtk-greeter:2114): Gtk-WARNING **: 11:20:00.358: Drawing a gadget with negative dimensions. Did you forget to allocate a size? (node menubar owner GreeterMenuBar)","2025-11-20T10:20:00.358-0600",,,11,20,20,november,0,thursday,2025,local,,,,,,kali,main,1,,,,,"(--:):_-_**:_::.:______._______?_(___)",,,,"/var/log/lightdm/seat0-greeter.log","linux_logs","tgmp-Ubuntu",,,,,56,,44,,,,,
,,,,"(lightdm-gtk-greeter:2114): Gtk-WARNING **: 11:19:00.648: Drawing a gadget with negative dimensions. Did you forget to allocate a size? (node menubar owner GreeterMenuBar)","2025-11-20T10:19:00.648-0600",,,11,20,19,november,0,thursday,2025,local,,,,,,kali,main,1,,,,,"(--:):_-_**:_::.:______._______?_(___)",,,,"/var/log/lightdm/seat0-greeter.log","linux_logs","tgmp-Ubuntu",,,,,56,,44,,,,,
,,,,"(lightdm-gtk-greeter:2114): Gtk-WARNING **: 11:18:00.685: Drawing a gadget with negative dimensions. Did you forget to allocate a size? (node menubar owner GreeterMenuBar)","2025-11-20T10:18:00.685-0600",,,11,20,18,november,0,thursday,2025,local,,,,,,kali,main,1,,,,,"(--:):_-_**:_::.:______._______?_(___)",,,,"/var/log/lightdm/seat0-greeter.log","linux_logs","tgmp-Ubuntu",,,,,56,,44,,,,,
,,,,"(lightdm-gtk-greeter:2114): Gtk-WARNING **: 11:17:00.826: Drawing a gadget with negative dimensions. Did you forget to allocate a size? (node menubar owner GreeterMenuBar)","2025-11-20T10:17:00.826-0600",,,11,20,17,november,0,thursday,2025,local,,,,,,kali,main,1,,,,,"(--:):_-_**:_::.:______._______?_(___)",,,,"/var/log/lightdm/seat0-greeter.log","linux_logs","tgmp-Ubuntu",,,,,56,,44,,,,,
,,,,"(lightdm-gtk-greeter:2114): Gtk-WARNING **: 11:16:00.995: Drawing a gadget with negative dimensions. Did you forget to allocate a size? (node menubar owner GreeterMenuBar)","2025-11-20T10:16:00.995-0600",,,11,20,16,november,0,thursday,2025,local,,,,,,kali,main,1,,,,,"(--:):_-_**:_::.:______._______?_(___)",,,,"/var/log/lightdm/seat0-greeter.log","linux_logs","tgmp-Ubuntu",,,,,56,,44,,,,,
,,,,"(lightdm-gtk-greeter:2114): Gtk-WARNING **: 11:15:00.820: Drawing a gadget with negative dimensions. Did you forget to allocate a size? (node menubar owner GreeterMenuBar)","2025-11-20T10:15:00.820-0600",,,11,20,15,november,0,thursday,2025,local,,,,,,kali,main,1,,,,,"(--:):_-_**:_::.:______._______?_(___)",,,,"/var/log/lightdm/seat0-greeter.log","linux_logs","tgmp-Ubuntu",,,,,56,,44,,,,,
,,,,"(lightdm-gtk-greeter:2114): Gtk-WARNING **: 11:14:00.077: Drawing a gadget with negative dimensions. Did you forget to allocate a size? (node menubar owner GreeterMenuBar)","2025-11-20T10:14:00.077-0600",,,11,20,14,november,0,thursday,2025,local,,,,,,kali,main,1,,,,,"(--:):_-_**:_::.:______._______?_(___)",,,,"/var/log/lightdm/seat0-greeter.log","linux_logs","tgmp-Ubuntu",,,,,56,,44,,,,,
,,,,"(lightdm-gtk-greeter:2114): Gtk-WARNING **: 11:13:00.581: Drawing a gadget with negative dimensions. Did you forget to allocate a size? (node menubar owner GreeterMenuBar)","2025-11-20T10:13:00.581-0600",,,11,20,13,november,0,thursday,2025,local,,,,,,kali,main,1,,,,,"(--:):_-_**:_::.:______._______?_(___)",,,,"/var/log/lightdm/seat0-greeter.log","linux_logs","tgmp-Ubuntu",,,,,56,,44,,,,,
,,,,"(lightdm-gtk-greeter:2114): Gtk-WARNING **: 11:12:01.072: Drawing a gadget with negative dimensions. Did you forget to allocate a size? (node menubar owner GreeterMenuBar)","2025-11-20T10:12:01.072-0600",,,11,20,12,november,1,thursday,2025,local,,,,,,kali,main,1,,,,,"(--:):_-_**:_::.:______._______?_(___)",,,,"/var/log/lightdm/seat0-greeter.log","linux_logs","tgmp-Ubuntu",,,,,56,,44,,,,,
,,,,"(lightdm-gtk-greeter:2114): Gtk-WARNING **: 11:11:01.008: Drawing a gadget with negative dimensions. Did you forget to allocate a size? (node menubar owner GreeterMenuBar)","2025-11-20T10:11:01.008-0600",,,11,20,11,november,1,thursday,2025,local,,,,,,kali,main,1,,,,,"(--:):_-_**:_::.:______._______?_(___)",,,,"/var/log/lightdm/seat0-greeter.log","linux_logs","tgmp-Ubuntu",,,,,56,,44,,,,,
